Coefficients:
a = 235.00
b = 0.0008
c = 0.22
d = 107.00
e = 4004.00

Maximum Profit Analysis:
---------------------------
Optimal Quantity	: 227.67
Maximum Profit		: 27611.62

Total Profit (Simpson's Rule):
---------------------------
From x=0.00 to x=500.00	: 4129012.48

Data Points:
Quantity   Revenue      Cost         Profit      
------------------------------------------------
0.00       0.00         4111.00      -4111.00    
20.00      4693.60      4222.69      470.91      
40.00      9348.80      4515.63      4833.17     
60.00      13927.20     4990.97      8936.23     
80.00      18390.40     5650.13      12740.27    
100.00     22700.00     6494.86      16205.14    
120.00     26817.60     7527.25      19290.35    
140.00     30704.80     8749.91      21954.89    
160.00     34323.20     10165.97     24157.23    
180.00     37634.40     11779.31     25855.09    
200.00     40600.00     13594.63     27005.37    
220.00     43181.60     15617.68     27563.92    
240.00     45340.80     17855.48     27485.32    
260.00     47039.20     20316.62     26722.58    
280.00     48238.40     23011.58     25226.82    
300.00     48900.00     25953.15     22946.85    
320.00     48985.60     29156.98     19828.62    
340.00     48456.80     32642.16     15814.64    
360.00     47275.20     36432.01     10843.19    
380.00     45402.40     40555.03     4847.37     
400.00     42800.00     45046.00     -2246.00    
420.00     39429.60     49947.44     -10517.84   
440.00     35252.80     55311.24     -20058.44   
460.00     30231.20     61200.82     -30969.62   
480.00     24326.40     67693.61     -43367.21   
500.00     17500.00     74884.21     -57384.21   
