Coefficients:
a = 276.00
b = 0.0010
c = 0.18
d = 105.00
e = 3381.00

Maximum Profit Analysis:
---------------------------
Optimal Quantity	: 242.71
Maximum Profit		: 37516.67

Total Profit (Simpson's Rule):
---------------------------
From x=0.00 to x=500.00	: 8136661.78

Data Points:
Quantity   Revenue      Cost         Profit      
------------------------------------------------
0.00       0.00         3486.00      -3486.00    
20.00      5512.00      3581.25      1930.75     
40.00      10976.00     3825.64      7150.36     
60.00      16344.00     4220.32      12123.68    
80.00      21568.00     4766.68      16801.32    
100.00     26600.00     5466.42      21133.58    
120.00     31392.00     6321.61      25070.39    
140.00     35896.00     7334.80      28561.20    
160.00     40064.00     8509.07      31554.93    
180.00     43848.00     9848.21      33999.79    
200.00     47200.00     11356.85     35843.15    
220.00     50072.00     13040.63     37031.37    
240.00     52416.00     14906.43     37509.57    
260.00     54184.00     16962.69     37221.31    
280.00     55328.00     19219.69     36108.31    
300.00     55800.00     21689.98     34110.02    
320.00     55552.00     24388.92     31163.08    
340.00     54536.00     27335.23     27200.77    
360.00     52704.00     30551.81     22152.19    
380.00     50008.00     34066.62     15941.38    
400.00     46400.00     37913.81     8486.19     
420.00     41832.00     42135.06     -303.06     
440.00     36256.00     46781.34     -10525.34   
460.00     29624.00     51914.85     -22290.85   
480.00     21888.00     57611.59     -35723.59   
500.00     13000.00     63964.38     -50964.38   
