Coefficients:
a = 286.00
b = 0.0007
c = 0.16
d = 171.00
e = 3037.00

Maximum Profit Analysis:
---------------------------
Optimal Quantity	: 282.04
Maximum Profit		: 46324.28

Total Profit (Simpson's Rule):
---------------------------
From x=0.00 to x=500.00	: 14106568.23

Data Points:
Quantity   Revenue      Cost         Profit      
------------------------------------------------
0.00       0.00         3208.00      -3208.00    
20.00      5714.40      3309.86      2404.54     
40.00      11395.20     3548.10      7847.10     
60.00      17008.80     3924.58      13084.22    
80.00      22521.60     4441.57      18080.03    
100.00     27900.00     5101.83      22798.17    
120.00     33110.40     5908.74      27201.66    
140.00     38119.20     6866.44      31252.76    
160.00     42892.80     7979.97      34912.83    
180.00     47397.60     9255.49      38142.11    
200.00     51600.00     10700.53     40899.47    
220.00     55466.40     12324.28     43142.12    
240.00     58963.20     14137.96     44825.24    
260.00     62056.80     16155.30     45901.50    
280.00     64713.60     18393.03     46320.57    
300.00     66900.00     20871.63     46028.37    
320.00     68582.40     23616.06     44966.34    
340.00     69727.20     26656.86     43070.34    
360.00     70300.80     30031.30     40269.50    
380.00     70269.60     33784.90     36484.70    
400.00     69600.00     37973.28     31626.72    
420.00     68258.40     42664.36     25594.04    
440.00     66211.20     47941.10     18270.10    
460.00     63424.80     53904.82     9519.98     
480.00     59865.60     60679.28     -813.68     
500.00     55500.00     68415.65     -12915.65   
