# Maximum Profit Analysis:
# ---------------------------
# Optimal Quantity	: 227.67
# Maximum Profit	: 27611.62
# Iterations		: 4
#
# Total Profit (Simpson's Rule):
# ---------------------------
# From x=0.00 to x=500.00	: 4129012.53

# Qty      Revenue      Cost         Profit       Derivative
0.00       0.00         4111.00      -4111.00     233.93      
5.00       1174.90      4121.99      -2947.09     231.62      
10.00      2349.20      4144.25      -1795.05     229.18      
15.00      3522.30      4177.82      -655.52      226.62      
20.00      4693.60      4222.69      470.91       223.93      
25.00      5862.50      4278.89      1583.61      221.13      
30.00      7028.40      4346.43      2681.97      218.20      
35.00      8190.70      4425.34      3765.36      215.14      
40.00      9348.80      4515.63      4833.17      211.96      
45.00      10502.10     4617.31      5884.79      208.66      
50.00      11650.00     4730.41      6919.59      205.24      
55.00      12791.90     4854.96      7936.94      201.69      
60.00      13927.20     4990.97      8936.23      198.01      
65.00      15055.30     5138.46      9916.84      194.21      
70.00      16175.60     5297.47      10878.13     190.29      
75.00      17287.50     5468.02      11819.48     186.23      
80.00      18390.40     5650.13      12740.27     182.06      
85.00      19483.70     5843.84      13639.86     177.76      
90.00      20566.80     6049.18      14517.62     173.33      
95.00      21639.10     6266.17      15372.93     168.77      
100.00     22700.00     6494.86      16205.14     164.09      
105.00     23748.90     6735.27      17013.63     159.28      
110.00     24785.20     6987.45      17797.75     154.35      
115.00     25808.30     7251.43      18556.87     149.28      
120.00     26817.60     7527.25      19290.35     144.09      
125.00     27812.50     7814.97      19997.53     138.77      
130.00     28792.40     8114.61      20677.79     133.31      
135.00     29756.70     8426.24      21330.46     127.73      
140.00     30704.80     8749.91      21954.89     122.02      
145.00     31636.10     9085.65      22550.45     116.18      
150.00     32550.00     9433.54      23116.46     110.20      
155.00     33445.90     9793.63      23652.27     104.10      
160.00     34323.20     10165.97     24157.23     97.86       
165.00     35181.30     10550.65     24630.65     91.49       
170.00     36019.60     10947.71     25071.89     84.98       
175.00     36837.50     11357.24     25480.26     78.34       
180.00     37634.40     11779.31     25855.09     71.57       
185.00     38409.70     12214.00     26195.70     64.65       
190.00     39162.80     12661.39     26501.41     57.61       
195.00     39893.10     13121.57     26771.53     50.42       
200.00     40600.00     13594.63     27005.37     43.09       
205.00     41282.90     14080.67     27202.23     35.63       
210.00     41941.20     14579.78     27361.42     28.02       
215.00     42574.30     15092.08     27482.22     20.27       
220.00     43181.60     15617.68     27563.92     12.38       
225.00     43762.50     16156.69     27605.81     4.35        
230.00     44316.40     16709.24     27607.16     -3.83       
235.00     44842.70     17275.46     27567.24     -12.16      
240.00     45340.80     17855.48     27485.32     -20.63      
245.00     45810.10     18449.45     27360.65     -29.26      
250.00     46250.00     19057.53     27192.47     -38.04      
255.00     46659.90     19679.86     26980.04     -46.96      
260.00     47039.20     20316.62     26722.58     -56.05      
265.00     47387.30     20967.98     26419.32     -65.28      
270.00     47703.60     21634.13     26069.47     -74.68      
275.00     47987.50     22315.26     25672.24     -84.24      
280.00     48238.40     23011.58     25226.82     -93.96      
285.00     48455.70     23723.29     24732.41     -103.84     
290.00     48638.80     24450.63     24188.17     -113.89     
295.00     48787.10     25193.84     23593.26     -124.10     
300.00     48900.00     25953.15     22946.85     -134.49     
305.00     48976.90     26728.84     22248.06     -145.05     
310.00     49017.20     27521.18     21496.02     -155.79     
315.00     49020.30     28330.46     20689.84     -166.71     
320.00     48985.60     29156.98     19828.62     -177.81     
325.00     48912.50     30001.07     18911.43     -189.10     
330.00     48800.40     30863.05     17937.35     -200.57     
335.00     48648.70     31743.29     16905.41     -212.24     
340.00     48456.80     32642.16     15814.64     -224.10     
345.00     48224.10     33560.04     14664.06     -236.17     
350.00     47950.00     34497.35     13452.65     -248.43     
355.00     47633.90     35454.52     12179.38     -260.91     
360.00     47275.20     36432.01     10843.19     -273.60     
365.00     46873.30     37430.29     9443.01      -286.51     
370.00     46427.60     38449.86     7977.74      -299.64     
375.00     45937.50     39491.26     6446.24      -313.00     
380.00     45402.40     40555.03     4847.37      -326.59     
385.00     44821.70     41641.76     3179.94      -340.42     
390.00     44194.80     42752.06     1442.74      -354.50     
395.00     43521.10     43886.58     -365.48      -368.83     
400.00     42800.00     45046.00     -2246.00     -383.42     
405.00     42030.90     46231.03     -4200.13     -398.28     
410.00     41213.20     47442.41     -6229.21     -413.40     
415.00     40346.30     48680.94     -8334.64     -428.81     
420.00     39429.60     49947.44     -10517.84    -444.51     
425.00     38462.50     51242.78     -12780.28    -460.51     
430.00     37444.40     52567.88     -15123.48    -476.82     
435.00     36374.70     53923.70     -17549.00    -493.44     
440.00     35252.80     55311.24     -20058.44    -510.39     
445.00     34078.10     56731.58     -22653.48    -527.68     
450.00     32850.00     58185.83     -25335.83    -545.32     
455.00     31567.90     59675.17     -28107.27    -563.32     
460.00     30231.20     61200.82     -30969.62    -581.69     
465.00     28839.30     62764.09     -33924.79    -600.45     
470.00     27391.60     64366.35     -36974.75    -619.60     
475.00     25887.50     66009.02     -40121.52    -639.18     
480.00     24326.40     67693.61     -43367.21    -659.18     
485.00     22707.70     69421.72     -46714.02    -679.62     
490.00     21030.80     71195.01     -50164.21    -700.53     
495.00     19295.10     73015.22     -53720.12    -721.92     
500.00     17500.00     74884.21     -57384.21    -743.80     
